Method,Category,Documents,Features,Sparsity,Avg_NonZero_Per_Doc,Memory_MB,Processing_Time,Semantic_Consistency_Mean,Semantic_Consistency_Std,Topic_Groups_Analyzed
One-Hot 1-1gram,one_hot,1000,10000,0.9900416,99.584,0.759765625,0.4076533317565918,0.23745246056439065,0.21234014400060475,66
One-Hot 1-2gram,one_hot,1000,10000,0.9887738,112.262,0.8564910888671875,1.3601067066192627,0.26258272778790426,0.2085093198578487,66
One-Hot 1-3gram,one_hot,1000,10000,0.988418,115.82,0.883636474609375,2.1539647579193115,0.27828449189850496,0.2054964915909537,66
BoW count 1-1gram,bag_of_words,1000,10000,0.9901392,151.443,0.7523193359375,0.3971214294433594,0.3496520301531108,0.21692223725427898,66
BoW count 1-2gram,bag_of_words,1000,10000,0.9889637,174.934,0.8420028686523438,1.2569074630737305,0.3629435332835704,0.20948885463708525,66
BoW binary 1-1gram,bag_of_words,1000,10000,0.9901392,98.608,0.37615966796875,0.3372654914855957,0.23972967191687913,0.21238208134825,66
BoW binary 1-2gram,bag_of_words,1000,10000,0.9889637,110.363,0.4210014343261719,1.244710922241211,0.26848416426494665,0.20825742468174135,66
BoW log 1-1gram,bag_of_words,1000,10000,0.9901392,82.47298334416477,0.7523193359375,0.42659449577331543,0.292966128176133,0.20555839445337745,66
BoW log 1-2gram,bag_of_words,1000,10000,0.9889637,93.4424273938024,0.8420028686523438,1.1974842548370361,0.31593090464123125,0.2017989252821143,66
BoW sqrt 1-1gram,bag_of_words,1000,10000,0.9901392,114.42162811281156,0.7523193359375,0.31205058097839355,0.2841082091664079,0.20633061013456863,66
BoW sqrt 1-2gram,bag_of_words,1000,10000,0.9889637,129.42749503131043,0.8420028686523438,1.1967260837554932,0.3080234800893926,0.20234467296891842,66
BoW normalized 1-1gram,bag_of_words,1000,10000,0.9901392,7.315920583717412,0.7523193359375,0.4120659828186035,0.3496520301531108,0.21692223725427887,66
BoW normalized 1-2gram,bag_of_words,1000,10000,0.9889637,7.881353994312385,0.8420028686523438,1.2546751499176025,0.3629435332835705,0.2094888546370853,66
TF-IDF smooth_idf=True 1-1gram,tfidf,1000,10000,0.9901392,7.939026127533219,0.7523193359375,0.48108959197998047,0.24500809298776988,0.22515946162810135,66
TF-IDF smooth_idf=True 1-2gram,tfidf,1000,10000,0.9889637,8.451263806386523,0.8420028686523438,1.7024621963500977,0.26964158120786574,0.22160587260747408,66
TF-IDF smooth_idf=True 1-3gram,tfidf,1000,10000,0.9887007,8.544207491618257,0.8620681762695312,2.927234649658203,0.28496764837854804,0.2181791920966251,66
TF-IDF smooth_idf=False 1-1gram,tfidf,1000,10000,0.9901392,7.921379824133381,0.7523193359375,0.3565793037414551,0.24235111360602207,0.22571399922225951,66
TF-IDF smooth_idf=False 1-2gram,tfidf,1000,10000,0.9889637,8.432838929838454,0.8420028686523438,1.2284433841705322,0.267182498788289,0.22222614735510957,66
TF-IDF smooth_idf=False 1-3gram,tfidf,1000,10000,0.9887007,8.526641887756837,0.8620681762695312,2.2790231704711914,0.28263655032018226,0.21876498440881328,66
"TF-IDF smooth_idf=True, sublinear_tf=True 1-1gram",tfidf,1000,10000,0.9901392,8.703862479963481,0.7523193359375,0.358814001083374,0.21919107538286847,0.22367589287625286,66
"TF-IDF smooth_idf=True, sublinear_tf=True 1-2gram",tfidf,1000,10000,0.9889637,9.252573012147485,0.8420028686523438,1.4189059734344482,0.24979111891157535,0.21983110769414074,66
"TF-IDF smooth_idf=True, sublinear_tf=True 1-3gram",tfidf,1000,10000,0.9887007,9.346988805979613,0.8620681762695312,2.412309408187866,0.26761629101805484,0.21585947204587355,66
"TF-IDF smooth_idf=False, sublinear_tf=True 1-1gram",tfidf,1000,10000,0.9901392,8.681564331982836,0.7523193359375,0.38106679916381836,0.21694303761496236,0.22423831150595808,66
"TF-IDF smooth_idf=False, sublinear_tf=True 1-2gram",tfidf,1000,10000,0.9889637,9.230674580364942,0.8420028686523438,1.6379153728485107,0.24769097819929023,0.2204716693692598,66
"TF-IDF smooth_idf=False, sublinear_tf=True 1-3gram",tfidf,1000,10000,0.9887007,9.326028986373636,0.8620681762695312,4.533263921737671,0.2655941228450474,0.21646256226430996,66
Unigrams,ngram_comparison,1000,10000,0.9901392,7.939026127533219,0.7523193359375,0.9754977226257324,0.24500809298776988,0.22515946162810135,66
Bigrams,ngram_comparison,1000,10000,0.9962944,5.086859607937737,0.28271484375,2.233086347579956,0.2299319786881872,0.22753133341826112,66
Trigrams,ngram_comparison,1000,9228,0.9973327915041179,3.8664799978474047,0.18778228759765625,2.1841447353363037,0.23328452661567736,0.2618562971238502,66
Unigrams + Bigrams,ngram_comparison,1000,10000,0.9889637,8.451263806386523,0.8420028686523438,2.3886635303497314,0.26964158120786574,0.22160587260747408,66
Unigrams + Bigrams + Trigrams,ngram_comparison,1000,10000,0.9887007,8.544207491618257,0.8620681762695312,3.6896262168884277,0.28496764837854804,0.2181791920966251,66
Bigrams + Trigrams,ngram_comparison,1000,10000,0.9956787,5.305886410219283,0.32968902587890625,3.2170493602752686,0.28221798055686903,0.2281424129785233,66
